title,description
The Trial of the Chicago 7,"In 1969, seven people were charged by the federal government with conspiracy and more, arising from the protests at the 1968 Democratic National Convention in Chicago."
Days of Glory,"In 1941, bands of guerrilla soldiers dot the Russian countryside, attempting to drive out Nazi invaders. Vladimir (Gregory Peck) leads one such group and, with his rag-tag crew of amateur soldiers, mounts a courageous campaign to blow up a Nazi ammunition train. But Vladimir faces a moral dilemma when he must choose between two women -- beautiful ex-ballerina Nina (Tamara Toumanova) and loyal factory worker Yelena (Maria Palmer) -- to send on a dangerous mission."
Jathi Ratnalu,Three men search for love and happiness after leaving prison.
Logan Lucky,West Virginia family man Jimmy Logan teams up with his one-armed brother Clyde and sister Mellie to steal money from the Charlotte Motor Speedway in North Carolina. Jimmy also recruits demolition expert Joe Bang to help them break into the track's underground system. Complications arise when a mix-up forces the crew to pull off the heist during a popular NASCAR race while also trying to dodge a relentless FBI agent.
March of the Penguins,"At the end of each Antarctic summer, the emperor penguins of the South Pole journey to their traditional breeding grounds in a fascinating mating ritual that is captured in this documentary by intrepid filmmaker Luc Jacquet. The journey across frozen tundra proves to be the simplest part of the ritual, as after the egg is hatched, the female must delicately transfer it to the male and make her way back to the distant sea to nourish herself and bring back food to her newborn chick."
Biutiful,"Uxbal (Javier Bardem), a career criminal, plies his trade in Barcelona's underground sweatshops and back alleys. Unlike his associates, he has some respect for the poor workers under his thumb and is a devoted father. Told that he is ill and has just a few months to live, Uxbal tries to get his affairs in order before the spirits, with whom he communes, come to claim him."
Brockmire,"Hank Azaria and Amanda Peet co-star in ""Brockmire,"" a half-hour comedy series that began years ago as a viral short video on the Funny or Die website. The series centers on the fall of Jim Brockmire, a once-famed major league baseball announcer who suffers an embarrassing on-air meltdown caused by his wife's serial infidelity, leading to a decade away from the booth. Older and presumably wiser, Brockmire attempts to reclaim his career, reputation and love life by returning behind the mic, but the setting -- a broken-down rust belt town, home of the minor league's Morristown Frackers -- is not quite what he envisioned. Strong-willed, hard-drinking owner Julia James has a complicated relationship with Brockmire, while whiz-kid intern Charles is simultaneously entertained by and terrified of the new announcer."
Miranda,"Life isn't easy for Miranda. Whatever she attempts -- whether it's dating or dealing with her overbearing mother, to whom Miranda is a constant disappointment -- she always seems to fall flat. Miranda is desperate to fit in with her girly friends from boarding school, but that is hard to do as she is 6 feet 1 inches tall and gets called ""sir"" a bit too often for her liking. One of Miranda's main problems is she doesn't know how to behave around men, which is especially bad because her mother is desperate for her to find a husband. Despite all this, Miranda can be happy -- usually while playing games at her joke shop, which is managed by her childhood best friend, Stevie."
The Hidden Face,A woman (Clara Lago) accidentally becomes trapped in her new home's panic room while trying to spy on her boyfriend (Quim Gutiérrez).
Brides,A seamstress tries to keep her life together for her two children when her lover is sent to prison for 10 years.
Gully Boy,Street rappers come of age in Mumbai.
Disconnect,A young woman finds a cell phone that allows her to talk to her dead mother in the past. She is shocked to learn her mother was murdered and she hopes to use the phone to stop the killer in the past and the present.
Killing Eve,"Eve's life as a spy is not adding up to what she had hoped it would be when she started. She is a bored, very smart, MI5 security officer who is very desk-bound. Villanelle is a very talented killer, mercurial in mood, who clings to the luxuries of her job. Eve and Villanelle go head to head in a fierce game of cat and mouse, each woman equally obsessed with the other as Eve is tasked with hunting down the psychopathic assassin. Sarah Barnett, BBCA president, says, ""'Killing Eve' stands out in a sea of scripted stories as refreshingly entertaining and great fun."""
Camino,"Martin de Vries walks the Camino, which is the famous pilgrimage to Santiago de Compostella. While walking, he tries to figure out why he started the adventure in the first place."
Run,An isolated teen discovers her mother's sinister secret.
Vickida No Varghodo,A man's ex-girlfriends show up to his wedding unexpectedly.
Six Feet Under,"Laced with irony and dark situational humor, the show approaches the subject of death through the eyes of the Fisher family, who owns and operates a funeral home in Los Angeles. Peter Krause stars as Nate, who reluctantly becomes a partner in the funeral home after his father's death."
Catch Me If You Can,"Frank Abagnale, Jr. (Leonardo DiCaprio) worked as a doctor, a lawyer, and as a co-pilot for a major airline -- all before his 18th birthday. A master of deception, he was also a brilliant forger, whose skill gave him his first real claim to fame: At the age of 17, Frank Abagnale, Jr. became the most successful bank robber in the history of the U.S. FBI Agent Carl Hanratty (Tom Hanks) makes it his prime mission to capture Frank and bring him to justice, but Frank is always one step ahead of him."
In the Dark,"DI Helen Weeks grapples with pregnancy, she takes on a very personal abduction case."
Trial by Fire,"After the deadly Uphaar cinema fire, two grief-stricken parents navigate the loss of their children and launch a dogged fight for justice."
Freddy,The lines between love and obsession blur in this romantic thriller packed with unpredictable twists and sharp turns.
Mare of Easttown,Small-town Pennsylvania detective Mare Sheehan investigates a murder as life crumbles around her.
He Was a Quiet Man,A frustrated office worker becomes a reluctant hero after saving a woman's life.
Wanted,"When a wanted man rides into the small western town of Dutchman, all of the wrong people sit up and take notice."
Perception,"Dr. Daniel Pierce is a brilliant, eccentric neuroscience professor with a deep knowledge of human behavior and of the way the brain processes information. He's also a paranoid schizophrenic who struggles with hallucinations. But Daniel considers his condition a gift, the way the hallucinations sometimes allow him to see patterns and make connections that his mind has otherwise not yet formed. With that gift, Daniel helps his former student, FBI agent Kate Moretti, as a consultant on certain cases. He's happiest when given an intricate puzzle to solve or a message to decode, and for that Kate is more than willing to look past his disease. Helping keep Daniel on task is his teaching assistant and roommate, Max Lewicki, who provides for Daniel's domestic demands, and Natalie Vincent, Daniel's best friend, one-time romantic partner and definite intellectual equal."
Exit Through the Gift Shop,"The infamous, shadowy British graffiti street artist Banksy has literally left his mark on cities throughout the world. He comes in contact with Thierry Guetta, a Los Angeles-based Frenchman who videotapes various underground art escapades, and later is transformed into an art phenomenon dubbed ""Mr. Brainwash."" Rhys Ifans narrates an overlapping documentary where the line between what is real and what might be fake blurs, as modern art and celebrity are put under the microscope."
U Turn,"A two-bit criminal (Sean Penn) meets an attractive woman (Jennifer Lopez) and her spouse (Nick Nolte), each of whom wants him to murder the other."
Battlestar Galactica,"This update of the late-1970s series takes a decidedly darker tone as what's left of humankind struggles for survival against the robot Cylons, who have killed millions. The Galactica, led by William Adama, protects a patched-together fleet of civilians -- led by de facto president Laura Roslin -- in search of a mythical planet called Earth."
Perfect Sense,A chef (Ewan McGregor) and a scientist (Eva Green) fall in love amid a plague that robs people of their senses.
United States of Tara,"Suburban housewife and mom Tara Gregson sometimes just doesn't seem like herself, and with good reason: She's living with dissociative identity disorder, a condition that causes her to shift between multiple identities without warning. Her loving husband, Max, copes with the situation as best he can, but neither he nor their teenage kids, Kate and Marshall, can be sure who will greet them when they come home: Tara herself, or ""T,"" a flirty teenager; Buck, a beer-swilling Vietnam vet with a violent streak; Alice, a perfect TV mom right out of the 1950s; or other alter egos in this dark comedy created and written by Academy Award winner Diablo Cody (""Juno"")."
I Am Kalam,"A child struggles to pursue his dreams and surpass the boundaries of reality, where the human spirit is pitted against overwhelming odds."
Oppam,A blind elevator operator has to prove his innocence after being framed for murder.
Star Trek: Lower Decks,"""Star Trek: Lower Decks"" focuses on the support crew serving on one of Starfleet's least important ships, the USS Cerritos, in 2380. Ensigns Mariner, Boimler, Rutherford and Tendi must keep up with their duties and their social lives, often while the ship is being rocked by a multitude of sci-fi anomalies. The ship's bridge crew includes Captain Carol Freeman, Commander Jack Ransom, Lieutenant Shaxs and Doctor T'Ana. This is the second animated spin-off in the franchise after 1973-74's ""Star Trek: The Animated Series,"" but has a decidedly more adult tone and humor."
Yellowstone,"Oscar and Emmy winner Kevin Costner is the marquee attraction of the ensemble cast in this drama series, starring as the patriarch of a powerful, complicated family of ranchers. A sixth-generation homesteader and devoted father, John Dutton controls the largest contiguous ranch in the United States. He operates in a corrupt world where politicians are compromised by influential oil and lumber corporations and land grabs make developers billions. Amid shifting alliances, unsolved murders, open wounds, and hard-earned respect, Dutton's property is in constant conflict with those it borders -- an expanding town, an Indian reservation, and America's first national park."
Chungking Express,"Every day, Cop 223 (Takeshi Kaneshiro) buys a can of pineapple with an expiration date of May 1, symbolizing the day he'll get over his lost love. He's also got his eye on a mysterious woman in a blond wig (Brigitte Lin), oblivious of the fact she's a drug dealer. Cop 663 (Tony Leung Chiu Wai) is distraught with heartbreak over a breakup. But when his ex drops a spare set of his keys at a local cafe, a waitress (Faye Wong) lets herself into his apartment and spruces up his life."
Death Valley,"Maintaining law and order is the mandate of the UTF, but this isn't exactly Benson and Stabler working the streets for the Special Victims Unit. The Undead Task Force (UTF) is a newly formed division of the LAPD charged with taking down the vampires, werewolves and zombies that roam California's San Fernando Valley, encounters that form the dark comedic elements of ""Death Valley."" Documenting the hardcore kills and extraordinary creatures investigated by the UTF's courageous men and women is a daring camera crew embedded within the task force, illuminating the toughest beat known to man."
American Gothic,"Fourteen years after a string of murders committed by an assailant dubbed the Silver Bells Killer terrorized the city of Boston, authorities reopen the case. As the investigation progresses, the Hawthorne family discover that one of their own could be linked to the grisly crimes. As disturbing secrets from the past and present find their way into the light, an atmosphere of mounting suspicion and paranoia that one of them is a killer threatens to tear the family apart."
Ema,"After a shocking incident upends her family life and marriage to a tempestuous choreographer, Ema, a reggaeton dancer, sets out on an odyssey of personal liberation, in this incendiary drama about art, desire, and the modern family from director Pablo Larraín (Jackie, Neruda)."
Single Parents,"This ensemble comedy follows some single parents as they lean on each other to help raise their 7-year-old kids and maintain some kind of personal lives outside of parenthood. When the parents in the group meet Will, a 30-something guy who's been so focused on raising his daughter that he's lost sight of who he is as a man, they see just how far down the rabbit hole of PTA, parenting and princesses he has gone. The friends decide to band together to get him out in the dating world and make him realize that being a great parent doesn't mean sacrificing everything about his own identity."
Frank,"In a moment of desperation, Ruby Chase makes a vow of servitude to a monster, Frank. She breaks her vow by committing suicide, setting Frank on a course of bloody revenge against the people she loved the most."
Mumbai Police,Three cops fight crime and share a deep friendship.
Marcella,"Acclaimed writer Hans Rosenfeldt continues his first British drama following the international success of the Swedish/Danish series ""The Bridge."" Anna Friel stars in the lead role of Marcella Backland, a British police detective working in contemporary London. Set in Rosenfeldt's unique style of ""Nordic noir,"" the body of a missing child is discovered inside a wall and a task force is assembled to catch the killer. A complex set of characters from all walks of life and interweaving storylines take viewers on a dark and emotional journey with turns at every corner."
Driving Licence,Complications arise when a famous actor tries to renew his driver's license.
The Unforgivable,"Released from prison after serving a sentence for a violent crime, Ruth Slater (Sandra Bullock) re-enters a society that refuses to forgive her past. Facing severe judgment from the place she once called home, her only hope for redemption is finding the estranged younger sister she was forced to leave behind."
S/O Satyamurthy,"A billionaire businessman dies, and his son goes to great lengths to keep his father's values."
Sleepwalk with Me,Anxiety over his stalled career and outside pressure to marry his longtime lover (Lauren Ambrose) push a commitment-shy comic (Mike Birbiglia) to sleepwalk.
Daredevil,"The first in a planned series of shows detailing the Marvel universe, ""Daredevil"" follows Matt Murdock, attorney by day and vigilante by night. Blinded in an accident as a child, Murdock uses his heightened senses as Daredevil to fight crime on the streets of New York after the sun goes down. While Murdock's day job requires him to believe in the criminal justice system, his alter ego does not follow suit, leading him to take the law into his own hands to protect his Hell's Kitchen neighborhood and the surrounding communities."
Hacksaw Ridge,"The true story of Pfc. Desmond T. Doss (Andrew Garfield), who won the Congressional Medal of Honor despite refusing to bear arms during WWII on religious grounds. Doss was drafted and ostracized by fellow soldiers for his pacifist stance but went on to earn respect and adoration for his bravery, selflessness and compassion after he risked his life -- without firing a shot -- to save 75 men in the Battle of Okinawa."
Vatican Girl: The Disappearance of Emanuela Orlandi,"In Rome, Emanuela Orlandi, 15, vanishes after leaving a music lesson, embroiling the Vatican in a decades-old mystery."
A Hijacking,"After Somali pirates hijack a Danish cargo ship and take the crew hostage, authorities in Copenhagen begin negotiations with the pirates to free the crew."
BH90210,"The original cast members of the groundbreaking teen drama ""Beverly Hills, 90210"" get back together to play heightened versions of themselves in this serialized drama that is inspired by their real lives and relationships with each other. Having gone their separate ways since the original series ended, Shannen, Jason, Jennie, Ian, Gabrielle, Brian, and Tori reunite when one of them suggests it's time to get a ""Beverly Hills, 90210"" reboot up and running. The iconic cast tries to continue from where they left off, but old romances, friends and frenemies return to create more drama than ever before."
Cave of Forgotten Dreams,"In this documentary, filmmaker Werner Herzog and a small crew are given a rare chance to film inside France's Chauvet Cave, where the walls are covered with the world's oldest surviving paintings. To preserve the art, people are allowed to enter the site for only two weeks a year. Examining the 30,000-year-old drawings, Herzog discusses how the artwork represents humanity's earliest dreams with scientists and art scholars conducting research at Chauvet."
Batman Beyond,A new Dark Knight protects the Gotham of the future.
The Climb,A greedy tycoon (Dabney Coleman) sponsors a hotshot (Jason George) and a cautious widower (Ned Vaughn) to scale a perilous mountain in the Andes.
Beastie Boys Story,Mike Diamond and Adam Horovitz share the story of their band and 40 years of friendship in a live documentary experience.
Soul,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz -- and he's good. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul."
Saheb Biwi Aur Gangster Returns,"When Aditya's wife cheats on him, he decides to take revenge; a prince whose property was taken by Aditya's family returns to settle the score."
Spencer,A mail clerk at an advertising firm sets out to climb the corporate ladder and win the woman of his dreams.
Where the Wild Things Are,"Feeling misunderstood at home and at school, mischievous Max (Max Records) escapes to the land of the Wild Things, majestic -- and sometimes fierce -- creatures. They allow Max to become their leader, and he promises to create a kingdom where everyone will be happy. However, Max soon finds that being king is not easy and that, even being with the Wild Things, there is something missing."
Terriers,"Former cop Hank Dolworth and his best friend, Britt Pollack, team up to open their own private investigation agency. They aren't letting a lack of licenses stand in their way, although they would prefer to avoid both danger and responsibility as they try to solve crimes."
Hillbilly Elegy,A Yale Law student drawn back to his Appalachian hometown reflects on his family's history and his own future.
Happy Town,"After a rash of unsolved kidnappings, the small town of Haplin, Minn., enjoys half a decade of crime-free life. But the first crime in years brings to light some dark truths about some of the town's upstanding citizens. Townspeople are convinced that the Magic Man is behind the criminal activity."
The Girl Next Door,Theresa turns her horrifying past as a sex slave into her calling by traveling the country and helping people who are being trafficked.
24,"Sethuraman, a scientist, invents a time-travelling gadget, and his evil-twin brother wants to get hold of it. A bitter battle arises between Sethuraman's son and his evil-twin to capture the gadget."
Stuck,"Passionate hospice worker Brandi Boski (Mena Suvari) believes she will soon be promoted for her hard work. Meanwhile, penniless Thomas Bardo (Stephen Rea) is evicted from his apartment. Their lives intersect in shocking fashion when Brandi hits Thomas with her car. Thomas, lodged in the car's partially shattered windshield, pleads for help, but a frightened Brandi ignores him and drives home. Fearing she may lose her job or receive jail time, she makes a chilling, life-changing decision."
Princess Mononoke,A prince becomes involved in the struggle between a forest princess and the encroachment of mechanization.
Sick of Myself,"Signe (Kristine Kujath Thorp) and Thomas (Eirik Sæther) are in an unhealthy, competitive relationship that takes a vicious turn when Thomas suddenly breaks through as a contemporary artist. In response, Signe makes a desperate attempt to regain her status by creating a new persona hell-bent on attracting attention and sympathy."
Zootopia+,"“Zootopia+” heads back to the fast-paced mammal metropolis of Zootopia in a short-form series that dives deeper into the lives of some of the Oscar®-winning feature film’s most intriguing residents, including Fru Fru, the fashion-forward arctic shrew; ZPD dispatcher Clawhauser, the sweet-toothed cheetah; and Flash, the smiling sloth who’s full of surprises."
Tyrant,"Bassam ""Barry"" al-Fayeed, who has fully assimilated to living in America, is the son of a Middle Eastern dictator. Barry is a pediatrician in Los Angeles, but he and his family return to his native country for his nephew's wedding. It's his first visit in 20 years, but things don't go as planned. When his father dies suddenly, Barry and his family are embroiled in political upheaval and forced to stay in the country. A clash of cultures ensues as Barry is thrown back into the familial and national politics of his youth, which he had escaped by self-imposed exile."
Little Women,A musical adaptation of the Louisa May Alcott novel about the growth to womanhood of the four March sisters in 1860s New England.
Pathemari,The hardships and happiness of a family.
The Keepers,"Netflix's latest docuseries tackles the unsolved murder of Cathy Cesnik, a beloved nun and Catholic high school teacher in Baltimore. After disappearing on Nov. 7, 1969, Cesnik's body was found nearly two months later -- but to this day, the killer remains unnamed. In the '90s, the case returned to the spotlight after one of Cesnik's former students accused the high school's chaplain of sexual abuse, and claims that she was taken to Cesnik's then undiscovered corpse and threatened. Director Ryan White pieces together the story through conversations with friends, relatives, journalists, government officials and Baltimore citizens, hoping to uncover the truth."
Don't Move,"As his daughter lies on an operating table, a surgeon (Sergio Castellitto) reminisces about his passionate affair with an Albanian (Penélope Cruz)."
Last Week Tonight with John Oliver,"John Oliver won an Emmy for his work as a writer on ""The Daily Show With Jon Stewart,"" but it wasn't until he guest-hosted that show in the summer of 2013 that HBO took notice of his ""singular perspective and distinct voice."" Thanks to that memorable gig, Oliver gets to show off his talent in front of HBO's camera on ""Last Week Tonight."" The late-night series sees the British comic review what happened the past seven days in news, politics and current events, all with a heavy dose of satire, of course. Oliver hosted a stand-up show for four seasons on Comedy Central, and he was also responsible for co-writing and co-presenting the popular weekly satirical podcast ""The Bugle."""
The Fault in Our Stars,"Hazel Grace Lancaster (Shailene Woodley), a 16-year-old cancer patient, meets and falls in love with Gus Waters (Ansel Elgort), a similarly afflicted teen from her cancer support group. Hazel feels that Gus really understands her. They both share the same acerbic wit and a love of books, especially Grace's touchstone, ""An Imperial Affliction"" by Peter Van Houten. When Gus scores an invitation to meet the reclusive author, he and Hazel embark on the adventure of their brief lives."
The New Adventures of Old Christine,"""Old Christine"" (Julia Louis-Dreyfus) is a divorced mom who has a handle on her career and motherhood -- and a pretty good relationship with her ex-husband -- until he introduces his new girlfriend, a younger woman, also named Christine. Old Christine lives with her son and her brother, and runs a gym, and her life is a constant struggle to keep up with everyone else."
Sherlock,"In this contemporary version of Sir Arthur Conan Doyle's detective stories, Dr. John Watson is a war vet just home from Afghanistan. He meets the brilliant but eccentric Holmes when the latter, who serves as a consultant to Scotland Yard, advertises for a flatmate. Almost as soon as Watson moves into the Baker Street flat, they are embroiled in mysteries, and Sherlock's nemesis, Moriarty, appears to have a hand in the crimes."
The Power of the Dog,"Severe, pale-eyed, handsome, Phil Burbank is brutally beguiling. All of Phil's romance, power and fragility is trapped in the past and in the land: He can castrate a bull calf with two swift slashes of his knife; he swims naked in the river, smearing his body with mud. He is a cowboy as raw as his hides. The year is 1925. The Burbank brothers are wealthy ranchers in Montana. At the Red Mill restaurant on their way to market, the brothers meet Rose, the widowed proprietress, and her impressionable son Peter. Phil behaves so cruelly he drives them both to tears, reveling in their hurt and rousing his fellow cowhands to laughter -- all except his brother George, who comforts Rose then returns to marry her. As Phil swings between fury and cunning, his taunting of Rose takes an eerie form -- he hovers at the edges of her vision, whistling a tune she can no longer play. His mockery of her son is more overt, amplified by the cheering of Phil's cowhand disciples. Then Phil appears to take the boy under his wing. Is this latest gesture a softening that leaves Phil exposed, or a plot twisting further into menace?"
Stargirl,High school student Courtney Whitmore inspires an unlikely group of young heroes to stop the villains of the past.
Adam,"Reve Walsh (JoBeth Williams) takes her six-year-old son Adam (John Boston) to the mall and briefly leaves him in the toy department -- but he's gone when she returns. Reve and her husband, John (Daniel J. Travanti), search tirelessly for Adam, but to no avail. Frustrated by the underwhelming support the FBI offers in a case like theirs, the Walshes create their own organization to help find Adam, and then set out to create new regulations to reunite missing children with their parents."
Collateral,"A cab driver realizes his current fare is a hit man that has been having him drive around from mark to mark until the last witness to a crime is dead. When the cabbie finally figures out the truth, he must prevent the assassin from wiping out his last witness without becoming the next in the professional killer's line of casualties."
The New Pope,"As Pope Pius XIII hangs between life and death in a coma, charming and sophisticated moderate English aristocrat Sir John Brannox is placed on the papal throne and adopts the name John Paul III."
Sing Street,"In 1985, a Dublin teenager (Ferdia Walsh-Peelo) forms a rock 'n' roll band to win the heart of an aspiring model (Lucy Boynton)."
Below Deck Mediterranean,"The ""Below Deck"" franchise sets sail with a new boat, crew and location in this series that follows nine members of a crew who live and work aboard a 150-foot yacht. As the ship journeys through the Mediterranean, each episode features a new group of elite passengers, with each group presenting a different set of challenges for the crew. Leading the ship's team as captain during this series' run have been Mark Howard, a veteran of nearly 30 years on yachts, and Sandy Yawn, one of the few females in the yachting industry to hold the position. Other crew members include chief stewardess Hannah, who sees the Mediterranean as the ultimate location for yachting."
Death of a Rockstar,"""Yellow Submarine"" meets ""Rocky Horror Picture Show"" meets ""Tommy"" meets ""Jesus Christ Superstar"" in this fun, colorful, subversive love letter to classic rock 'n' roll and 20th-century American pop culture."
Bad Day for the Cut,"A mild-mannered farmer embarks on a bloody quest to avenge his mother's murder. He soon discovers her dark past while wading through the criminal underworld of Belfast, Ireland."
Ishaqzaade,"Passion ignites between two fiery individuals (Arjun Kapoor, Parineeti Chopra) from rival families."
Come Fly with Me,"""Little Britain"" co-stars David Walliams and Matt Lucas turn their comic sensibilities to the world of air travel in this mockumentary series that pokes fun at flying the friendly skies. Walliams and Lucas put the show's makeup artists and costume designers through the wringer as they portray nearly 50 different characters who work at or pass through the fictional airport's imaginary terminal, from pilots, stewardesses and baggage handlers to coffee-kiosk workers and assorted traveling couples."
Illegal,"An Englishwoman's (Isobel Elsom) second husband squanders her fortune, forcing her to open a nightclub."
Inside the World's Toughest Prisons,"A journalist travels to different locations to explore the imprisonment process of various societies. In the Philippines, the featured prison is Rizal Jail, where inmates perform dances and cook for each other. In Poland's Piotrkow Prison, he experiences intensive guard and riot training and spends time in Piotrow's most extreme isolation cell. He also discovers what conditions are like at El Hongo prison in Mexico and Danli Prison in Honduras. Other facilities are visited in Brazil, Papua New Guinea, Ukraine and Belize. Throughout the episodes, the host reveals the struggles of each institution as the guards attempt to reform criminals and prisoners adjust to life on the inside."
Our Times,"In 2001, Iranian president Mohammad Khatami runs for re-election. The first half of this documentary follows a group of young men and women as they campaign for the reform-minded Khatami. The second half focuses on Arezu Bayat, a twice-divorced single mother who decides to run for president herself. At the same time, Bayat struggles to find a new apartment for herself and her children, dealing with a prejudiced society whose property owners are reluctant to rent to a single woman."
Chor Nikal Ke Bhaga,"A flight attendant and her boyfriend must steal a cache of diamonds to clear an old debt, but their plan spins out of control when the plane is hijacked."
Under the Sand,"For many years, Marie and Jean have happily spent their vacation together in the Landes region of western France. But this summer, while Marie naps on the beach, her husband goes swimming and vanishes without a trace. Tenaciously and disquietingly, Marie keeps the memory of her husband alive, often speaking of him as if he never disappeared. An offbeat study of the grieving process that will ring true for anyone who has gone through a similar personal loss."
Turner & Hooch,A buttoned-up U.S. Marshall inherits a drooling junkyard dog and soon realizes the pet he didn't want is the partner he needs.
All Together Now,The Beatles and Cirque du Soleil work on a stage production.
Easy Money,Complications arise when a group of friends finds money.
Black Lagoon,"Rokuro ""Rock"" Okajima, a meek businessman, is on a trip to Southeast Asia, when things turn sour for him: Pirates board the ship and take Rock hostage. While under their control, he agrees to join the crew -- known as the Black Lagoon Co. -- which includes merciless and maniacal Revy, Dutch and Benny. Rock becomes responsible for the account management duties and negotiations of a gang that participates in gun-smuggling, drug-trafficking, kidnapping and black-marketing. Black Lagoon's missions often involve gunfights, hand-to-hand combat and nautical battles."
Shrill,"Annie is a full-figured woman who wants to change her life -- but not her body; she is trying to start her career while juggling bad boyfriends, a sick parent and a perfectionist boss."
Deadstream,"After a public controversy left him disgraced and demonetized, a washed up internet personality tries to win back his followers by livestreaming himself spending one night alone in a haunted house. When he accidentally pisses off a vengeful spirit, his comeback event becomes a real-time fight for his life (and social relevance) as he faces off with the sinister spirit of the house and her own powerful following."
Tell Me You Love Me,"Dr. May Foster, a marital therapist, counsels patients grappling with issues of intimacy and commitment. Among those seeking help are David, a doting husband and father but, at 40, someone who is having trouble enjoying sexual intimacy with his wife, Katie, a former advertising executive; Carolyn Stenton, a high-powered attorney, who yearns to have a child with her hushand, Palek, who is struggling with major ""daddy issues"" of his own; and Hugo, whose engagement to girlfriend Jamie may be derailed unless he can overcome his misgivings about a lifetime of monogamy."
Don Jon,"New Jersey bartender Jon Martello (Joseph Gordon-Levitt) knows what's important: his friends, his family, his car, his church, his sexual conquests -- and porn. In fact, Jon is a porn addict and has never had a genuine relationship with a woman. However, when he meets Barbara (Scarlett Johansson) he has to change his operating methods, because Barbara won't be bedded easily. For the first time in his life, Jon begins a real courtship, but his obsession with erotica threatens to ruin everything."
Beavis and Butt-Head Do the Universe,"A tale that technically spans two centuries, BEAVIS AND BUTT-HEAD DO THE UNIVERSE promises to sit atop all future lists of the Dumbest Science Fiction Movies Ever Made. The saga begins when Beavis and Butt-Head wind up at space camp through ""creative sentencing"" from a juvenile court judge in 1998. Mistaking a docking simulator for something else (huh huh), Beavis and Butt-Head excel at it and are asked to join the space shuttle mission in a PR move. After ruining the mission, they are left for dead in space and end up going through a black hole and reemerging back on Earth in 2022, only to discover a very different world -- and find themselves considered Buttholes of Interest by the NSA, the governor of Texas, and a highly intelligent version of themselves from a parallel universe. Also they almost lose their virginity, but don't."
The Outpost,"Thinking she is to be promoted, a woman is instead sent to a remote mountain outpost."
Papicha,"Nedjma is passionate about holding a fashion show in 1997 Algiers, a time when women were oppressed."
Edge of Tomorrow,"When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj. William Cage (Tom Cruise), an officer who has never seen combat, is assigned to a suicide mission. Killed within moments, Cage finds himself thrown into a time loop, in which he relives the same brutal fight -- and his death -- over and over again. However, Cage's fighting skills improve with each encore, bringing him and a comrade (Emily Blunt) ever closer to defeating the aliens."
1944,Events from the war in 1944 seen through eyes of Estonian soldiers who had to pick sides.
You Hurt My Feelings,"An inept male nanny (John Merriman) tries to win back his ex-lover (Courtney Davis), then becomes pals with her new boyfriend (Macon Blair)."
Midnight Sun,"The murder of French citizen Pierre Carnot brings French homicide investigator Kahina Zadi to Kiruna in Sweden, a small town in the Arctic Circle at a time of the year when the sun doesn't set. Teaming up with Swedish detectives Rutger Burlin and Anders Harnesk, the team embarks on an investigation that quickly takes on horrifying significance involving the Sami tribe, the local mining industry, and shadowy interests. As the number of bodies rapidly increases, Kahina must race to find the perpetrator and uncover the reasons behind the killings, as the case and the figures surrounding it begin to close in on her."
Dan in Real Life,"Dan Burns (Steve Carell), a widower and advice columnist, meets a beautiful stranger (Juliette Binoche) in a bookstore and is instantly smitten. Unfortunately the woman, named Marie, is already involved with Dan's charismatic brother (Dane Cook). As a weekend family gathering gets underway, Dan and Marie try to hide their mutual attraction, but fall in love anyway."
Life Feels Good,"Mateusz, an intelligent young man, suffers from severe cerebral palsy and is trapped in his own body. His protected world comes crashing down when he is placed in an institution and mistreated."
Big B,"Mary adopts four children who are from different religions. When she gets murdered, these children set out to take revenge against the murderer."
The Broken Circle Breakdown,"The loss of their young daughter threatens to destroy the love and faith of two married musicians (Veerle Baetens, Johan Heldenbergh)."
Chandigarh Kare Aashiqui,"Set in the by-lanes of Chandigarh, the film narrates the story of a gym co-owner and bodybuilder, Manu Munjal, who is desperate to create a splash in the fitness world and dreams to win the coveted title. He fails in his quest and his family pressurizes him to join the family business and get settled. Maanvi, a lissome, charming girl, and Zumba Trainer walk into his life. Manu feels an instant attraction, sparks fly, chemistry blossoms and soon, they find themselves in the middle of a torrid romantic affair, painting the town red with their newfound, raw, irresistibly intense cascading love for each other. A startling revelation brings his life to a grinding halt and an enormous confession throws off their relationship to hit rock-bottom. This propels Manu into a journey of self-discovery and surpass barriers to embrace the love of his life and in the process accomplish his long-lasting dream. The film attempts to present a never-before-seen love story that also raises unsettling questions about society's tainted notions of love and the prevalent toxic masculinity. At its heart, the film is a heartfelt celebration of one's own individuality and love in all its colors and forms!"
Cowboy Bebop,Bounty hunters search for criminals.
Before Sunset,"A sequel to ""Before Sunrise,"" this film starts nine years later as Jesse (Ethan Hawke) travels across Europe giving readings from a book he wrote about the night he spent in Vienna with Celine (Julie Delpy). After his reading in Paris, Celine finds him, and they spend part of the day together before Jesse has to again leave for a flight. They are both in relationships now, and Jesse has a son, but as their strong feelings for each other start to return, both confess a longing for more."
Butterfly,A young CIA agent's private life starts to pour into her work life.
Silk,"`Silk' follows the lives of barristers on the front line of criminal law. Martha Costello is a passionate defence barrister who faces challenging cases and surprising clients, which test her faith in the criminal justice system."
